"species","lon","lat"
"Neovison vison",-4.14,41.32
"Neovison vison",-4.01,40.87
"Neovison vison",-3.89,41.14
"Neovison vison",-3.54,41.87
"Neovison vison",-3.78,41.32
"Neovison vison",-3.42,41.6
"Neovison vison",-3.42,42.23
"Neovison vison",-3.42,41.87
"Neovison vison",-3.3,42.32
"Neovison vison",-3.3,42.05
"Neovison vison",-3.18,41.96
"Neovison vison",-3.77,40.69
"Neovison vison",-3.89,40.69
"Neovison vison",-4.02,41.41
"Neovison vison",-4.01,40.96
"Neovison vison",-4.01,40.69
"Neovison vison",-3.18,42.05
"Neovison vison",-3.42,42.32
"Neovison vison",-3.3,42.14
"Neovison vison",-3.89,40.78
"Neovison vison",-3.42,41.96
"Neovison vison",-4.02,41.5
"Neovison vison",-3.77,40.78
"Neovison vison",-3.18,41.6
"Neovison vison",-4.13,41.05
"Neovison vison",-3.3,41.6
"Neovison vison",-3.89,40.87
"Neovison vison",-3.79,42.58
"Neovison vison",-2.94,42.05
"Neovison vison",-3.67,42.59
"Neovison vison",-3.79,42.67
"Neovison vison",-1.97,42.31
"Neovison vison",-3.66,42.05
"Neovison vison",-3.66,41.87
"Neovison vison",-2.94,42.14
"Neovison vison",-3.31,43.13
"Neovison vison",-3.79,42.76
"Neovison vison",-2.94,42.68
"Neovison vison",-3.67,42.14
"Neovison vison",-3.66,41.96
"Neovison vison",-3.79,42.49
"Neovison vison",-4.17,43.39
"Neovison vison",-2.94,40.97
"Neovison vison",-3.67,42.5
"Neovison vison",-4.05,43.39
"Neovison vison",-2.94,42.77
"Neovison vison",-2.58,41.51
"Neovison vison",-1.05,40.5
"Neovison vison",-1.18,40.32
"Neovison vison",-1.3,40.14
"Neovison vison",-1.05,40.59
"Neovison vison",-1.06,40.23
"Neovison vison",-2.81,43.4
"Neovison vison",1.25,41.94
"Neovison vison",-1.18,40.14
"Neovison vison",-0.95,40.05
"Neovison vison",-1.06,40.32
"Neovison vison",-2.94,43.4
"Neovison vison",1.37,41.86
"Neovison vison",-0.94,40.32
"Neovison vison",-1.06,40.41
"Neovison vison",-1.18,40.23
"Neovison vison",-1.3,40.05
"Neovison vison",-0.83,40.05
